Konfigurator;Tab;Reihe;"Reihe erforderlich";"Reihe erlaubt die Auswahl mehrerer Produkte";"Produkt SKU";"Produkt standardmäßig ausgewählt";"Bild für die Visualisierung";"Farbe des Bandes";"Text des Bandes"
"Online Bemusterung - Alt";Sanitärobjekte;Brausearmaturen;;;s090de_046;;3416900127421002_Grohe_Duscharmatur.png;;
"Online Bemusterung - Alt";Sanitärobjekte;Brausearmaturen;;;s090de_047;;34_459_979-0028_015_979-00_Dornbracht_Meta_Showerpipe_Duscharmatur.png;;
"Online Bemusterung - Alt";Sanitärobjekte;"Höhe WC";x;;s090de_038;x;;;
"Online Bemusterung - Alt";Sanitärobjekte;"Höhe WC";x;;s090de_039;;;;
"Online Bemusterung - Alt";Innentüren;Türblatt;x;x;s090de_077;x;;;
"Online Bemusterung - Alt";Innentüren;Türblatt;x;x;s090de_079;;;;
"Online Bemusterung - Alt";Innentüren;Türblatt;x;x;s090de_078;;;;
"Online Bemusterung - Alt";Innentüren;Flurtür;x;;s090de_100;x;;;
"Online Bemusterung - Alt";Innentüren;Flurtür;x;;s090de_080;;;;
"Online Bemusterung - Alt";Innentüren;Flurtür;x;;s090de_102;;;;
"Online Bemusterung - Alt";Innentüren;Flurtür;x;;s090de_082;;;;
"Online Bemusterung - Alt";Innentüren;Flurtür;x;;s090de_101;;;;
"Online Bemusterung - Alt";Innentüren;Flurtür;x;;s090de_081;;;;
"Online Bemusterung - Alt";Innentüren;Türdrücker;x;;s090de_083;x;;;
"Online Bemusterung - Alt";Innentüren;Türdrücker;x;;s090de_084;;;;
"Online Bemusterung - Alt";Innentüren;Türdrücker;x;;s090de_086;;;;
"Online Bemusterung - Alt";Fenster;Fenstergriffe;;;s090de_087;;;;
"Online Bemusterung - Alt";Sonstiges;Ersatzfliesen;;x;s090de_088;;;;
"Online Bemusterung - Alt";Sonstiges;Ersatzfliesen;;x;s090de_089;;;;
"Online Bemusterung - Alt";Sonstiges;Ersatzfliesen;;x;s090de_090;;;;
"Online Bemusterung - Alt";Sonstiges;Ersatzfliesen;;x;s090de_091;;;;
"Online Bemusterung - Alt";Sonstiges;Ersatzfliesen;;x;s090de_092;;;;
"Online Bemusterung - Alt";Sonstiges;Ersatzfliesen;;x;s090de_093;;;;
"Online Bemusterung - Alt";Sonstiges;Ersatzfliesen;;x;s090de_094;;;;
"Online Bemusterung - Alt";Sonstiges;Ersatzfliesen;;x;s090de_095;;;;
"Online Bemusterung - Alt";Sonstiges;Ersatzfliesen;;x;s090de_096;;;;
"Online Bemusterung - Alt";Sonstiges;Ersatzfliesen;;x;s090de_097;;;;
"Online Bemusterung - Alt";Sonstiges;Ersatzfliesen;;x;s090de_098;;;;
"Online Bemusterung - Alt";Sonstiges;Ersatzfliesen;;x;s090de_099;;;;
